      TEMPERATURE         PRESSURE          Z      FUGACITY COEFFICIENT       HENRY COEFFICIENT   KCO2             KH20             YH20             XCO2
           333.15               83          0.63162         0.710367          3512.61          59.8199        0.0119973        0.0117991        0.0165219
           333.15              103         0.528088         0.648983          3597.38          54.0363       0.00966779       0.00949058        0.0183321
           333.15              138          0.42813          0.55535          3750.07          49.1302       0.00721626       0.00707041        0.0202112
           333.15              172         0.433133         0.489475          3903.85          46.5557        0.0057905       0.00566683        0.0213586
           333.15              193         0.450619         0.458965          4001.59          45.3548       0.00516101       0.00504779        0.0219376
           353.15               41         0.865522         0.875637          4224.07          118.132        0.0240941        0.0238951       0.00826755
           353.15               83           0.7226         0.761808          4432.68          70.3866        0.0118976        0.0117306        0.0140425
           353.15              103         0.656683         0.712561          4535.11          62.0401       0.00958607       0.00943301         0.015968
           353.15              138         0.565809         0.635667          4719.31           54.014       0.00715347       0.00702196        0.0183846
           353.15              158         0.538893         0.598192          4827.46          51.2804       0.00624748        0.0061264        0.0193819
           353.15              172          0.53071            0.575          4904.44          49.7873       0.00573873       0.00562411        0.0199731
           353.15              213         0.538234         0.520189          5136.05          46.5372        0.0046338       0.00453468        0.0213912
           353.15             94.9         0.682805         0.732093          4493.38          67.3029        0.0104048        0.0102518        0.0147074
           353.25             99.4         0.668621         0.721438          4520.86          65.6023       0.00993288       0.00978295        0.0150957
           353.35             41.3         0.864807         0.875011          4233.75          121.916        0.0239163        0.0237248       0.00801231
           353.35             60.2         0.800904         0.822247          4326.72           90.967        0.0164048        0.0162274        0.0108175
           353.35             60.7         0.799202         0.820888           4329.2          90.4189        0.0162696        0.0160925        0.0108845
           353.45             40.4         0.867965         0.877707          4233.46          124.239        0.0244479        0.0242558       0.00785839
           353.45             80.4         0.732454         0.769115          4432.28           74.592        0.0122804        0.0121178        0.0132458
           353.65             80.5           0.7328         0.769299          4441.29          74.6324        0.0122637        0.0121013        0.0132388
           333.15               41         0.831923         0.849553          3340.29          99.9064        0.0242889        0.0240516       0.00977428
           333.15               83          0.63162         0.710367          3512.61          62.0558        0.0119973        0.0118063        0.0159265
           333.15              138          0.42813          0.55535          3750.07          50.9426       0.00721626        0.0070756         0.019492
           333.15              158         0.425742         0.513787          3839.87           49.234       0.00630322       0.00617598        0.0201865
           333.15              172         0.433133         0.489475          3903.85           48.256        0.0057905       0.00567119         0.020606
           333.15              193         0.450619         0.458965          4001.59          47.0003       0.00516101       0.00505175        0.0211695
           353.15               41         0.865522         0.875637          4224.07          122.469        0.0240941        0.0239021       0.00797475
           353.15               83           0.7226         0.761808          4432.68           72.972        0.0118976        0.0117365        0.0135449
           353.15              138         0.565809         0.635667          4719.31           55.983       0.00715347       0.00702659        0.0177379
           353.15              172          0.53071            0.575          4904.44          51.5903       0.00573873       0.00562812         0.019275
           353.15              213         0.538234         0.520189          5136.05          48.2071        0.0046338       0.00453811        0.0206501
           373.15               48         0.872628         0.880251          4999.88          148.459          0.02029        0.0201561        0.0066028
            323.1               51         0.758507         0.796001          2902.81          90.6299        0.0195537        0.0193422        0.0108245
            323.1            100.3         0.433329         0.617114          3083.95          62.9823       0.00994381       0.00978747        0.0157236
            323.1            143.8         0.369127         0.493279          3252.03          57.7595       0.00693733       0.00681804        0.0171959
            323.2               50         0.764188         0.799972          2904.02          92.0216        0.0199447        0.0197322        0.0106567
            323.2              100         0.436657         0.618604          3087.84          63.0983       0.00997354       0.00981703        0.0156942
           323.15              150         0.374072         0.480617          3279.28          57.2769       0.00665082       0.00653546        0.0173457
            323.2              150         0.374285         0.480871          3281.92          57.2921       0.00665079       0.00653546        0.0173411
            323.2              200         0.429183         0.404507          3486.76          54.0316       0.00499011       0.00489821        0.0184175
            323.2              300         0.558132         0.328793          3930.89          49.4887       0.00333079        0.0032637        0.0201409
            373.1             50.7         0.865461         0.873911          5013.34          141.961        0.0192094        0.0190766       0.00691234
            373.1              104         0.732948         0.759929          5319.13          84.3653       0.00935688         0.009247        0.0117446
            373.1            191.4         0.617501         0.619989          5854.89          61.5863       0.00507909       0.00499703        0.0161567
